ApsimVersion = 7.7
Title = kl_awatere19
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),cover_green,root_depth,rlv(6-10)(1),rlv(6-10)(2),rlv(6-10)(3),rlv(6-10)(4),rlv(6-10)(5),ep,pet_total,irrigation,dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),ll15(6-10)(1),ll15(6-10)(2),ll15(6-10)(3),ll15(6-10)(4),ll15(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(),(mm),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm),(mm/day),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.149,0.149,0.149,0.149,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
02/06/2009,0.000,2.820,0.149,0.149,0.149,0.149,0.149,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
03/06/2009,0.000,3.803,0.149,0.149,0.149,0.149,0.149,0.000,104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
04/06/2009,0.000,4.562,0.148,0.149,0.149,0.149,0.149,0.000,108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
05/06/2009,0.000,5.386,0.148,0.148,0.149,0.149,0.149,0.025,112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
06/06/2009,0.000,5.335,0.147,0.148,0.149,0.149,0.149,0.032,128.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,5.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
07/06/2009,0.000,6.065,0.147,0.148,0.149,0.149,0.149,0.041,144.000,0.000,0.000,0.000,0.000,0.000,0.144,0.144,6.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
08/06/2009,0.000,6.072,0.147,0.148,0.149,0.149,0.149,0.053,160.000,0.000,0.000,0.000,0.000,0.000,0.188,0.188,6.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
09/06/2009,0.000,6.006,0.146,0.147,0.149,0.149,0.149,0.068,176.000,0.000,0.000,0.000,0.000,0.000,0.245,0.245,6.000,0.149,0.149,0.149,0.149,0.149,0.033,0.033,0.033,0.033,0.033,
